L 353, 1084, -260, 353, 1084, -26, 64, 64, 64
L 353, 1084, -26, 152, 843, -63, 64, 64, 64
L 152, 843, -63, 150, 568, -25, 64, 64, 64
L 150, 568, -25, 33, 224, -20, 64, 64, 64
L 33, 224, -20, 67, 86, -1, 64, 64, 64
L 67, 86, -1, 77, -60, 3, 64, 64, 64
L 77, -60, 3, 81, -128, -10, 64, 64, 64
L 81, -128, -10, 125, -126, -2, 64, 64, 64
L 125, -126, -2, 166, -63, -12, 64, 64, 64
L 166, -63, -12, 286, -55, -23, 64, 64, 64
L 286, -55, -23, 358, -51, -17, 64, 64, 64
L 358, -51, -17, 418, -48, 4, 64, 64, 64
L 418, -48, 4, 500, 28, -4, 64, 64, 64
L 500, 28, -4, 727, 56, -28, 64, 64, 64
L 727, 56, -28, 868, 1, -3, 64, 64, 64
L 868, 1, -3, 983, -39, 3, 64, 64, 64
L 983, -39, 3, 1196, -49, -11, 64, 64, 64
L 1196, -49, -11, 1256, -79, -5, 64, 64, 64
L 1256, -79, -5, 1315, -136, -1, 64, 64, 64
L 1315, -136, -1, 1495, -184, -3, 64, 64, 64
L 1495, -184, -3, 1542, -250, -1, 64, 64, 64
L 1542, -250, -1, 1647, -275, 3, 64, 64, 64
L 1647, -275, 3, 1749, -379, -26, 64, 64, 64
L 1749, -379, -26, 1786, -450, -12, 64, 64, 64
L 1786, -450, -12, 1828, -538, -3, 64, 64, 64
L 1828, -538, -3, 1820, -603, -11, 64, 64, 64
L 1820, -603, -11, 1869, -848, -5, 64, 64, 64
L 1869, -848, -5, 1850, -852, -3, 64, 64, 64
L 1850, -852, -3, 1848, -907, -4, 64, 64, 64
L 1848, -907, -4, 1831, -906, -4, 64, 64, 64
L 1831, -906, -4, 1831, -856, -3, 64, 64, 64
L 1831, -856, -3, 1815, -845, -3, 64, 64, 64
L 1815, -845, -3, 1787, -793, -3, 64, 64, 64
L 1787, -793, -3, 1756, -765, -3, 64, 64, 64
L 1756, -765, -3, 1610, -685, -3, 64, 64, 64
L 1610, -685, -3, 1522, -662, -14, 64, 64, 64
L 1522, -662, -14, 1443, -681, -10, 64, 64, 64
L 1443, -681, -10, 1424, -713, -13, 64, 64, 64
L 1424, -713, -13, 1372, -727, -10, 64, 64, 64
L 1372, -727, -10, 1284, -712, -27, 64, 64, 64
L 1284, -712, -27, 1177, -686, -6, 64, 64, 64
L 1177, -686, -6, 1250, -789, 4, 64, 64, 64
L 1250, -789, 4, 1259, -863, 4, 64, 64, 64
L 1259, -863, 4, 1235, -967, -20, 64, 64, 64
L 1235, -967, -20, 1235, -1043, -9, 64, 64, 64
L 1235, -1043, -9, 1225, -1176, -27, 64, 64, 64
L 1225, -1176, -27, 1149, -1195, -12, 64, 64, 64
L 1149, -1195, -12, 1112, -1192, -8, 64, 64, 64
L 1112, -1192, -8, 1060, -1145, -3, 64, 64, 64
L 1060, -1145, -3, 1048, -1120, 3, 64, 64, 64
L 1048, -1120, 3, 1021, -1093, -6, 64, 64, 64
L 1021, -1093, -6, 962, -1078, -16, 64, 64, 64
L 962, -1078, -16, 922, -1083, -20, 64, 64, 64
L 922, -1083, -20, 869, -1088, -19, 64, 64, 64
L 869, -1088, -19, 817, -1099, -12, 64, 64, 64
L 817, -1099, -12, 788, -1159, 0, 64, 64, 64
L 788, -1159, 0, 748, -1179, 1, 64, 64, 64
L 748, -1179, 1, 701, -1209, -2, 64, 64, 64
L 701, -1209, -2, 668, -1229, 0, 64, 64, 64
L 668, -1229, 0, 624, -1265, -3, 64, 64, 64
L 624, -1265, -3, 595, -1294, 2, 64, 64, 64
L 595, -1294, 2, 572, -1320, -7, 64, 64, 64
L 572, -1320, -7, 532, -1306, -19, 64, 64, 64
L 532, -1306, -19, 510, -1250, -22, 64, 64, 64
L 510, -1250, -22, 569, -1196, -13, 64, 64, 64
L 569, -1196, -13, 544, -1130, -3, 64, 64, 64
L 544, -1130, -3, 481, -1102, -6, 64, 64, 64
L 481, -1102, -6, 400, -1126, -5, 64, 64, 64
L 400, -1126, -5, 383, -1178, -27, 64, 64, 64
L 383, -1178, -27, 255, -1185, -1, 64, 64, 64
L 255, -1185, -1, 172, -1236, 1, 64, 64, 64
L 172, -1236, 1, 126, -1246, -2, 64, 64, 64
L 126, -1246, -2, 86, -1228, -4, 64, 64, 64
L 86, -1228, -4, 62, -1194, -6, 64, 64, 64
L 62, -1194, -6, 70, -1186, -6, 64, 64, 64
L 70, -1186, -6, 87, -1056, -13, 64, 64, 64
L 87, -1056, -13, 70, -1022, -10, 64, 64, 64
L 70, -1022, -10, 51, -990, -7, 64, 64, 64
L 51, -990, -7, -5, -993, 0, 64, 64, 64
L -5, -993, 0, -24, -1013, -4, 64, 64, 64
L -24, -1013, -4, -130, -1030, -12, 64, 64, 64
L -130, -1030, -12, -164, -1015, -4, 64, 64, 64
L -164, -1015, -4, -194, -998, -4, 64, 64, 64
L -194, -998, -4, -231, -975, -8, 64, 64, 64
L -231, -975, -8, -276, -969, -7, 64, 64, 64
L -276, -969, -7, -394, -966, -7, 64, 64, 64
L -394, -966, -7, -487, -1022, -8, 64, 64, 64
L -487, -1022, -8, -541, -1049, 0, 64, 64, 64
L -541, -1049, 0, -618, -1059, -3, 64, 64, 64
L -618, -1059, -3, -656, -1020, -7, 64, 64, 64
L -656, -1020, -7, -670, -986, -12, 64, 64, 64
L -670, -986, -12, -656, -885, -10, 64, 64, 64
L -656, -885, -10, -568, -830, -7, 64, 64, 64
L -568, -830, -7, -457, -685, -10, 64, 64, 64
L -457, -685, -10, -401, -582, 1, 64, 64, 64
L -401, -582, 1, -322, -558, -4, 64, 64, 64
L -322, -558, -4, -250, -477, -11, 64, 64, 64
L -250, -477, -11, -230, -356, -16, 64, 64, 64
L -230, -356, -16, -178, -286, 0, 64, 64, 64
L -178, -286, 0, -79, -214, -13, 64, 64, 64
L -79, -214, -13, -71, -145, -6, 64, 64, 64
L -71, -145, -6, -94, -62, 3, 64, 64, 64
L -94, -62, 3, -94, 15, 3, 64, 64, 64
