L 547, 2126, -362, 547, 2126, -36, 64, 64, 64
L 547, 2126, -36, 547, 2097, -36, 64, 64, 64
L 547, 2097, -36, 569, 2076, -36, 64, 64, 64
L 569, 2076, -36, 596, 2076, -36, 64, 64, 64
L 596, 2076, -36, 596, 1980, -36, 64, 64, 64
L 596, 1980, -36, 584, 1980, -36, 64, 64, 64
L 584, 1980, -36, 567, 1979, -36, 64, 64, 64
L 567, 1979, -36, 547, 1960, -36, 64, 64, 64
L 547, 1960, -36, 547, 1930, -36, 64, 64, 64
L 547, 1930, -36, 509, 1930, -36, 64, 64, 64
L 509, 1930, -36, 507, 1879, -36, 64, 64, 64
L 507, 1879, -36, 557, 1876, -36, 64, 64, 64
L 557, 1876, -36, 557, 1761, -36, 64, 64, 64
L 557, 1761, -36, 527, 1751, -36, 64, 64, 64
L 527, 1751, -36, 527, 1842, -36, 64, 64, 64
L 527, 1842, -36, 529, 1846, -36, 64, 64, 64
L 529, 1846, -36, 531, 1858, -36, 64, 64, 64
L 531, 1858, -36, 517, 1860, -36, 64, 64, 64
L 517, 1860, -36, 517, 1746, 3, 64, 64, 64
L 517, 1746, 3, 517, 1361, 3, 64, 64, 64
L 517, 1361, 3, 546, 1356, 3, 64, 64, 64
L 546, 1356, 3, 547, 1326, 3, 64, 64, 64
L 547, 1326, 3, 547, 1278, 3, 64, 64, 64
L 547, 1278, 3, 582, 1272, -6, 64, 64, 64
L 582, 1272, -6, 601, 1253, -36, 64, 64, 64
L 601, 1253, -36, 615, 1239, -36, 64, 64, 64
L 615, 1239, -36, 624, 1241, -38, 64, 64, 64
L 624, 1241, -38, 631, 1247, -36, 64, 64, 64
L 631, 1247, -36, 631, 1286, -36, 64, 64, 64
L 631, 1286, -36, 697, 1286, -36, 64, 64, 64
L 697, 1286, -36, 747, 1277, -36, 64, 64, 64
L 747, 1277, -36, 756, 1276, -46, 64, 64, 64
L 756, 1276, -46, 761, 1266, -36, 64, 64, 64
L 761, 1266, -36, 796, 1266, -36, 64, 64, 64
L 796, 1266, -36, 796, 1231, -36, 64, 64, 64
L 796, 1231, -36, 762, 1231, -36, 64, 64, 64
L 762, 1231, -36, 746, 1211, -36, 64, 64, 64
L 746, 1211, -36, 669, 1211, -36, 64, 64, 64
L 669, 1211, -36, 660, 1203, -38, 64, 64, 64
L 660, 1203, -38, 655, 1195, -36, 64, 64, 64
L 655, 1195, -36, 687, 1167, -36, 64, 64, 64
L 687, 1167, -36, 696, 1011, -36, 64, 64, 64
L 696, 1011, -36, 659, 962, -36, 64, 64, 64
L 659, 962, -36, 668, 947, -36, 64, 64, 64
L 668, 947, -36, 746, 946, -36, 64, 64, 64
L 746, 946, -36, 767, 926, -36, 64, 64, 64
L 767, 926, -36, 796, 926, -36, 64, 64, 64
L 796, 926, -36, 796, 894, -36, 64, 64, 64
L 796, 894, -36, 760, 891, -36, 64, 64, 64
L 760, 891, -36, 746, 871, -36, 64, 64, 64
L 746, 871, -36, 631, 871, -36, 64, 64, 64
