L -1740, -923, -1329, -2058, -923, -192, 64, 64, 64
L -2058, -923, -192, -2059, -992, -212, 64, 64, 64
L -2059, -992, -212, -2093, -992, -232, 64, 64, 64
L -2094, -1026, -2329, -2024, -1026, -212, 64, 64, 64
L -2024, -1026, -212, -2024, -958, -191, 64, 64, 64
L -2024, -958, -191, -1739, -957, -133, 64, 64, 64
L -1827, -973, -456, -1804, -1117, -57, 64, 64, 64
L -1804, -1117, -57, -1763, -1233, -15, 64, 64, 64
L -1763, -1233, -15, -1750, -1419, 12, 64, 64, 64
L -1750, -1419, 12, -1778, -1572, 53, 64, 64, 64
L -1778, -1572, 53, -1648, -1658, 0, 64, 64, 64
L -1648, -1658, 0, -1530, -1707, 15, 64, 64, 64
L -1530, -1707, 15, -1395, -1726, 48, 64, 64, 64
L -1395, -1726, 48, -1197, -1775, 44, 64, 64, 64
L -1197, -1775, 44, -1073, -1785, 11, 64, 64, 64
L -1073, -1785, 11, -965, -1788, 27, 64, 64, 64
L -965, -1788, 27, -965, -1727, -50, 64, 64, 64
L -965, -1727, -50, -958, -1704, -70, 64, 64, 64
L -958, -1704, -70, -958, -1216, -154, 64, 64, 64
L -958, -1033, -1545, -955, -892, -155, 64, 64, 64
L -955, -892, -155, -438, -891, -154, 64, 64, 64
L -199, -898, -1546, -62, -892, -154, 64, 64, 64
L -62, -892, -154, -60, -895, -154, 64, 64, 64
L -60, -895, -154, 219, -895, -149, 64, 64, 64
L 219, -895, -149, 220, -1783, -72, 64, 64, 64
L 220, -1783, -72, 224, -1789, -57, 64, 64, 64
L 224, -1789, -57, 226, -1810, 0, 64, 64, 64
L 226, -1810, 0, 329, -1833, 50, 64, 64, 64
L 329, -1833, 50, 445, -1855, -5, 64, 64, 64
L 445, -1855, -5, 544, -1865, 0, 64, 64, 64
L 544, -1865, 0, 622, -1863, 16, 64, 64, 64
L 622, -1863, 16, 717, -1861, 17, 64, 64, 64
L 717, -1861, 17, 810, -1867, 13, 64, 64, 64
L 810, -1867, 13, 900, -1870, 12, 64, 64, 64
L 900, -1870, 12, 994, -1865, -4, 64, 64, 64
L 994, -1865, -4, 1096, -1842, 24, 64, 64, 64
L 1096, -1842, 24, 1176, -1825, 14, 64, 64, 64
L 1176, -1825, 14, 1269, -1810, 25, 64, 64, 64
L 1269, -1810, 25, 1405, -1780, 29, 64, 64, 64
L 1405, -1780, 29, 1476, -1748, -19, 64, 64, 64
L 1476, -1748, -19, 1558, -1704, -16, 64, 64, 64
L 1558, -1704, -16, 1622, -1657, 4, 64, 64, 64
L 1622, -1657, 4, 1648, -1606, 0, 64, 64, 64
L 1648, -1606, 0, 1669, -1521, 16, 64, 64, 64
L 1669, -1521, 16, 1672, -1426, 34, 64, 64, 64
L 1672, -1426, 34, 1679, -1341, 38, 64, 64, 64
L 1679, -1341, 38, 1696, -1266, 8, 64, 64, 64
L 1696, -1266, 8, 1723, -1207, -32, 64, 64, 64
L 1723, -1207, -32, 1743, -1135, -44, 64, 64, 64
L 1743, -1135, -44, 1755, -1046, -37, 64, 64, 64
L 1755, -1046, -37, 1767, -956, -1, 64, 64, 64
L 1767, -956, -1, 1766, -871, 18, 64, 64, 64
L 1766, -871, 18, 1764, -781, 20, 64, 64, 64
L 1764, -781, 20, 1763, -736, 0, 64, 64, 64
